"id","name","category_id"
1,"Perfume",1
2,"PARFUM",1
3,"LE PARFUM",1
4,"EXTRAIT DE PARFUM",1
5,"Extrait de Parfum",1
6,"Elixir De Parfum",1
7,"Parfum Intense",1
8,"Esprit de Parfum",1
9,"Extract Parfum",1
10,"EDP and Parfum",1
11,"Perfume, Eau de Parfum",1
12,"Perfume Gift Sets",1
13,"Parfum, Lotion, Gloss and Blush",1
14,"Perfume Fragrance Mist",1
15,"Eau de Parfum",2
16,"~ THE ONE EAU DE PARFUM SPRAY ~",2
17,"Eau De Parfum Intense",2
18,"Eau De Parfum 2 Pcs Set",2
19,"Eau de Parfum, Spray",2
20,"L'Eau de Parfum",2
21,"Eau de Parfume",2
22,"EDP",2
23,"Eau De Parfum Supreme",2
24,"Eau de Parfum/Perfume",2
25,"Eau De Parfum Spray (Unisex Tester) 3.4 oz",2
26,"Eau De Parfum 3 Pcs Set",2
27,"Eau de Parfum/ Eau de Toilette ",2
28,"Eau de Toilette",3
29,"Eau de Toillette",3
30,"Eau de Toilette, Spray",3
31,"Eau De Toilette Spray 3.4 oz",3
32,"1",3
33,"Eau de Toilette",3
34,"Eau De Toilette, Eau De Parfum, Eau De Parfum Intense",3
35,"Eau de Toilette Intense",3
36,"Eau de Toilette, Cologne Spray",3
37,"EDT",3
38,"Eau de Cologne",4
39,"Eau de Cologne Spray, Cologne Spray",4
40,"Fine Cologne",4
41,"EAU DE COLOGNE SPRAY",4
42,"DIOR HOMME COLOGNE",4
43,"Cologne",4
44,"Jo Malone Cologne Intense Spray",4
45,"Cologne Spray",4
46,"cologne",4
47,"Aftershave",5
48,"Spray",6
49,"Body Spray",6
50,"Fragrance Mist",6
51,"Fine Fragrance Mist",6
52,"Body Mist",6
53,"FRAGRANCE BODY MIST",6
54,"Toilette Spray",6
55,"Fragrances",7
56,"Fragrance & Perfume",7
57,"Fragrance Rolling Ball",7
58,"Various",7
59,"Assorted",7
60,"Discovery Set",7
61,"Gift Sets",7
62,"3 Pc",7
63,"ASST",7
64,"BEAUTY",7
65,"Hair Perfume",8
66,"Shimmering Body Oil",8
67,"Body Powder",8
68,"Body Lotion",8
69,"Sensuous Body Moisturizer",8
70,"SKIN_MOISTURIZER",8
71,"Cream",8
72,"Lotion",8
73,"Bath Oil",8
74,"Pink Sugar",8
75,"Deodorant",9
76,"Deodorant Stick",9
77,"Deodorant Body Spray",9
78,"Concentrated Uncut Pure Body Oil",10
79,"Body Oil",10
80,"Oil",10
81,"Oil Perfume",10
82,"Perfume Oil",10
83,"Scented Oils",10
84,"Roll On",11
85,"SOLID PERFUME STICK",11
86,"Pheromone",12
87,"Shimmer",12
88,"Does not apply",12
89,"Unscented",12
90,"Splash-on",12
91,"EDC",12
92,"Car Air Freshener",12
93,"Editions Parfums",12
94,"Y",12
95,"De Nuit",12
96,"/",12
97,"NULL",12
98,"N/A",12
99," ",12
